 INFO  Accepting connections at http://localhost:3000
 HTTP  29/11/2025 15:07:26 ::1 GET /
 HTTP  29/11/2025 15:07:26 ::1 Returned 200 in 29 ms
 HTTP  29/11/2025 15:07:26 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:07:26 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:07:26 ::1 Returned 304 in 5 ms
 HTTP  29/11/2025 15:07:26 ::1 Returned 304 in 4 ms
 HTTP  29/11/2025 15:07:27 ::1 GET /service-worker.js
 HTTP  29/11/2025 15:07:27 ::1 Returned 200 in 3 ms
 HTTP  29/11/2025 15:07:27 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:07:27 ::1 Returned 200 in 3 ms
 HTTP  29/11/2025 15:07:27 ::1 GET /
 HTTP  29/11/2025 15:07:27 ::1 GET /manifest.json
 HTTP  29/11/2025 15:07:27 ::1 Returned 304 in 2 ms
 HTTP  29/11/2025 15:07:27 ::1 Returned 304 in 8 ms
 HTTP  29/11/2025 15:07:27 ::1 GET /
 HTTP  29/11/2025 15:07:27 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:07:27 ::1 GET /icon-192.png
 HTTP  29/11/2025 15:07:27 ::1 GET /icon-512.png
 HTTP  29/11/2025 15:07:27 ::1 Returned 304 in 5 ms
 HTTP  29/11/2025 15:07:27 ::1 Returned 304 in 5 ms
 HTTP  29/11/2025 15:20:05 ::1 GET /
 HTTP  29/11/2025 15:20:05 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:20:05 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:20:05 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:20:05 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:05 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:06 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:20:06 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:20:09 ::1 GET /
 HTTP  29/11/2025 15:20:09 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:09 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:20:09 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:20:09 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:09 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:10 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:20:10 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:20:12 ::1 GET /
 HTTP  29/11/2025 15:20:12 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:20:13 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:20:13 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:20:13 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:13 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:20:13 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:20:13 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:34:57 ::1 GET /
 HTTP  29/11/2025 15:34:57 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:34:57 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:34:57 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:34:57 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:34:57 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:34:57 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:34:57 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:45:18 ::1 GET /
 HTTP  29/11/2025 15:45:18 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:45:18 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:45:18 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:45:18 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:45:18 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:45:19 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:45:19 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:45:21 ::1 GET /
 HTTP  29/11/2025 15:45:21 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:45:21 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:45:21 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:45:21 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:45:21 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:45:21 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:45:21 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:12 ::1 GET /
 HTTP  29/11/2025 15:46:12 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:13 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:46:13 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:46:13 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:13 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:13 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:46:13 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:46:14 ::1 GET /
 HTTP  29/11/2025 15:46:14 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:14 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:46:14 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:46:14 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:14 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:46:14 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:46:14 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:41 ::1 GET /
 HTTP  29/11/2025 15:46:41 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:41 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:46:41 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:46:41 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:41 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:46:41 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:46:41 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:52:16 ::1 GET /
 HTTP  29/11/2025 15:52:16 ::1 Returned 304 in 3 ms
 HTTP  29/11/2025 15:52:16 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:52:16 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:52:16 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:52:16 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:52:17 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:52:17 ::1 Returned 304 in 2 ms
 HTTP  29/11/2025 15:52:18 ::1 GET /service-worker.js
 HTTP  29/11/2025 15:52:18 ::1 Returned 304 in 2 ms
 HTTP  29/11/2025 15:53:08 ::1 GET /
 HTTP  29/11/2025 15:53:08 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:53:08 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:53:08 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:53:08 ::1 Returned 304 in 2 ms
 HTTP  29/11/2025 15:53:08 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:53:09 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:53:09 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:53:10 ::1 GET /service-worker.js
 HTTP  29/11/2025 15:53:10 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 15:53:37 ::1 GET /
 HTTP  29/11/2025 15:53:37 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:53:37 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:53:37 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:53:37 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:53:37 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:53:37 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:53:37 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:56:08 ::1 GET /
 HTTP  29/11/2025 15:56:08 ::1 Returned 200 in 5 ms
 HTTP  29/11/2025 15:56:08 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 15:56:08 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 15:56:08 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 15:56:08 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 15:56:09 ::1 GET /favicon.ico
 HTTP  29/11/2025 15:56:09 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 16:00:51 ::1 GET /
 HTTP  29/11/2025 16:00:51 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 16:00:51 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 16:00:51 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 16:00:51 ::1 Returned 304 in 3 ms
 HTTP  29/11/2025 16:00:51 ::1 Returned 304 in 3 ms
 HTTP  29/11/2025 16:00:52 ::1 GET /favicon.ico
 HTTP  29/11/2025 16:00:52 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 16:00:59 ::1 GET /
 HTTP  29/11/2025 16:00:59 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 16:00:59 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 16:00:59 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 16:00:59 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 16:00:59 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 16:01:00 ::1 GET /favicon.ico
 HTTP  29/11/2025 16:01:00 ::1 Returned 200 in 2 ms
 HTTP  29/11/2025 16:01:09 ::1 GET /
 HTTP  29/11/2025 16:01:09 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 16:01:09 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 16:01:09 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 16:01:09 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 16:01:09 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 16:01:10 ::1 GET /favicon.ico
 HTTP  29/11/2025 16:01:10 ::1 Returned 200 in 1 ms
 HTTP  29/11/2025 16:21:57 ::1 GET /
 HTTP  29/11/2025 16:21:57 ::1 Returned 200 in 3 ms
 HTTP  29/11/2025 16:21:57 ::1 GET /modules/AuditPDF/auditData.js
 HTTP  29/11/2025 16:21:57 ::1 Returned 304 in 1 ms
 HTTP  29/11/2025 16:21:57 ::1 GET /modules/AuditPDF/auditGenerator.js
 HTTP  29/11/2025 16:21:57 ::1 Returned 304 in 2 ms
 HTTP  29/11/2025 16:21:58 ::1 GET /favicon.ico
